department,time,resource_usage,utility_allocation,priority,departure_loc,arrival_loc,deadline,return_status,festive_season,shelf_life,status
Logistics,2025-04-01 08:00,70,70,Low,Delhi,Mumbai,2025-04-03,No,No,30,Safe
Production,2025-04-01 09:00,80,60,Medium,Chennai,Bangalore,2025-04-04,Yes,No,45,Safe
Distribution,2025-04-01 10:00,90,50,High,Kolkata,Hyderabad,2025-04-05,No,Yes,20,Bottleneck
Inventory,2025-04-01 11:00,95,40,High,Pune,Jaipur,2025-04-06,Yes,Yes,15,Bottleneck
Logistics,2025-04-01 12:00,85,65,Low,Ahmedabad,Surat,2025-04-07,No,No,60,Safe
Production,2025-04-01 13:00,75,75,Medium,Lucknow,Kanpur,2025-04-08,No,No,90,Safe
Distribution,2025-04-01 14:00,92,45,High,Chandigarh,Amritsar,2025-04-09,Yes,Yes,25,Bottleneck
Inventory,2025-04-01 15:00,88,55,Medium,Indore,Bhopal,2025-04-10,No,No,50,Safe
Logistics,2025-04-01 16:00,78,68,Low,Nagpur,Nashik,2025-04-11,No,No,70,Safe
Production,2025-04-01 17:00,96,35,High,Coimbatore,Trichy,2025-04-12,Yes,Yes,10,Bottleneck
Distribution,2025-04-01 18:00,82,62,Medium,Visakhapatnam,Vijayawada,2025-04-13,No,No,40,Safe
Inventory,2025-04-01 19:00,74,72,Low,Guwahati,Shillong,2025-04-14,No,No,80,Safe
Logistics,2025-04-01 20:00,91,48,High,Patna,Ranchi,2025-04-15,Yes,Yes,15,Bottleneck
Production,2025-04-01 21:00,87,58,Medium,Thiruvananthapuram,Kochi,2025-04-16,No,No,55,Safe
Distribution,2025-04-01 22:00,79,67,Low,Madurai,Tirunelveli,2025-04-17,No,No,65,Safe
Inventory,2025-04-02 08:00,98,30,High,Agra,Varanasi,2025-04-18,Yes,Yes,5,Bottleneck
Logistics,2025-04-02 09:00,83,63,Medium,Jodhpur,Jaisalmer,2025-04-19,No,No,75,Safe
Production,2025-04-02 10:00,76,73,Low,Udaipur,Ajmer,2025-04-20,No,No,85,Safe
Distribution,2025-04-02 11:00,93,42,High,Shimla,Manali,2025-04-21,Yes,Yes,20,Bottleneck
Inventory,2025-04-02 12:00,89,52,Medium,Dharwad,Hubli,2025-04-22,No,No,60,Safe
Logistics,2025-04-02 13:00,81,66,Low,Bhubaneswar,Cuttack,2025-04-23,No,No,70,Safe
Production,2025-04-02 14:00,94,38,High,Ranchi,Jamshedpur,2025-04-24,Yes,Yes,15,Bottleneck
Distribution,2025-04-02 15:00,84,64,Medium,Allahabad,Prayagraj,2025-04-25,No,No,50,Safe
Inventory,2025-04-02 16:00,77,71,Low,Dehradun,Rishikesh,2025-04-26,No,No,80,Safe
Logistics,2025-04-02 17:00,97,33,High,Gwalior,Guna,2025-04-27,Yes,Yes,10,Bottleneck
Production,2025-04-02 18:00,80,69,Low,Solapur,Pune,2025-04-28,No,No,90,Safe
Distribution,2025-04-02 19:00,92,46,High,Bareilly,Moradabad,2025-04-29,Yes,Yes,25,Bottleneck
Inventory,2025-04-02 20:00,86,59,Medium,Srinagar,Jammu,2025-04-30,No,No,65,Safe
Logistics,2025-04-02 21:00,78,70,Low,Raipur,Bilaspur,2025-05-01,No,No,75,Safe
Production,2025-04-02 22:00,95,41,High,Goa,Mangalore,2025-05-02,Yes,Yes,15,Bottleneck
Distribution,2025-04-03 08:00,85,65,Medium,Warangal,Karimnagar,2025-05-03,No,No,55,Safe
Inventory,2025-04-03 09:00,92,45,High,Rajkot,Bhavnagar,2025-05-04,Yes,Yes,20,Bottleneck
Logistics,2025-04-03 10:00,76,72,Low,Meerut,Ghaziabad,2025-05-05,No,No,80,Safe
Production,2025-04-03 11:00,96,35,High,Salem,Erode,2025-05-06,Yes,Yes,10,Bottleneck
Distribution,2025-04-03 12:00,83,63,Medium,Amravati,Nagpur,2025-05-07,No,No,70,Safe
Inventory,2025-04-03 13:00,89,52,Medium,Kollam,Thiruvananthapuram,2025-05-08,No,No,60,Safe
Logistics,2025-04-03 14:00,78,68,Low,Aligarh,Agra,2025-05-09,No,No,75,Safe
Production,2025-04-03 15:00,94,38,High,Belgaum,Dharwad,2025-05-10,Yes,Yes,15,Bottleneck
Distribution,2025-04-03 16:00,81,66,Low,Mathura,Vrindavan,2025-05-11,No,No,65,Safe
Inventory,2025-04-03 17:00,97,33,High,Thrissur,Palakkad,2025-05-12,Yes,Yes,10,Bottleneck
Logistics,2025-04-03 18:00,84,64,Medium,Kurnool,Anantapur,2025-05-13,No,No,50,Safe
Production,2025-04-03 19:00,77,71,Low,Alappuzha,Kottayam,2025-05-14,No,No,85,Safe
Distribution,2025-04-03 20:00,92,46,High,Kannur,Kasaragod,2025-05-15,Yes,Yes,25,Bottleneck
Inventory,2025-04-03 21:00,86,59,Medium,Malappuram,Kozhikode,2025-05-16,No,No,60,Safe
Logistics,2025-04-03 22:00,78,70,Low,Pathanamthitta,Idukki,2025-05-17,No,No,75,Safe
Production,2025-04-04 08:00,95,41,High,Palakkad,Malappuram,2025-05-18,Yes,Yes,15,Bottleneck
Distribution,2025-04-04 09:00,80,69,Low,Kasaragod,Kannur,2025-05-19,No,No,90,Safe
Inventory,2025-04-04 10:00,92,46,High,Kottayam,Alappuzha,2025-05-20,Yes,Yes,20,Bottleneck
